# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_2[1] c_2[2] c_2[3] c_2[4] c_2[5] c_2[6] c_2[7] c_2[8] c_2[9] c_2[10] c_2[11]
8000000 250
92 5.49 1.17068 10.9259 1.21748 12.3931 0.900542 12.6142 0.420265 4.26388 0.578083 7.29452
93 5.55 1.19905 11.4275 1.23816 12.9102 0.871277 12.9778 0.448823 4.45175 0.586931 7.53963
94 5.61 1.21891 11.9485 1.25366 13.4451 0.846751 13.3389 0.483761 4.65863 0.601722 7.79638
95 5.67 1.23077 12.4858 1.26367 13.9959 0.831239 13.701 0.517048 4.88451 0.614616 8.06428
96 5.73 1.23763 13.0377 1.26636 14.5597 0.819839 14.0658 0.55756 5.13327 0.630866 8.3451
97 5.79 1.23998 13.6023 1.26296 15.1337 0.813378 14.4353 0.591712 5.40283 0.645107 8.63831
98 5.85 1.23832 14.1778 1.25434 15.7157 0.810567 14.8112 0.631383 5.69644 0.65892 8.94404
99 5.91 1.23524 14.7638 1.23886 16.3024 0.811508 15.1953 0.662209 6.01074 0.672268 9.2624
100 5.97 1.22859 15.3584 1.21812 16.891 0.814667 15.5887 0.692372 6.34606 0.685871 9.59383
101 6.03 1.22 15.9609 1.19405 17.4797 0.818449 15.992 0.715889 6.69977 0.697105 9.93749
102 6.09 1.20958 16.5702 1.16658 18.0663 0.825686 16.4069 0.735313 7.07035 0.707727 10.2934
103 6.15 1.196 17.1845 1.13779 18.6497 0.831709 16.8332 0.741214 7.4513 0.717403 10.6612
104 6.21 1.17938 17.8022 1.1074 19.2288 0.841484 17.2729 0.744803 7.84161 0.723331 11.0394
105 6.27 1.16102 18.4221 1.07694 19.8028 0.849569 17.7255 0.751525 8.24308 0.732524 11.4299
106 6.33 1.14034 19.0426 1.04673 20.3714 0.857918 18.1913 0.748877 8.65082 0.740904 11.8324
107 6.39 1.118 19.6626 1.01728 20.9346 0.867696 18.6714 0.747234 9.06542 0.745679 12.2452
108 6.45 1.0966 20.2822 0.990248 21.4931 0.876715 19.1657 0.743272 9.4856 0.74418 12.665
109 6.51 1.07332 20.8999 0.965688 22.048 0.887352 19.6753 0.736598 9.90978 0.74317 13.092
110 6.57 1.0507 21.5159 0.94352 22.6002 0.896761 20.1998 0.727248 10.3363 0.735472 13.5224
111 6.63 1.02788 22.1295 0.923515 23.1506 0.908463 20.7409 0.723075 10.7682 0.728227 13.9564
112 6.69 1.00586 22.7409 0.906821 23.7008 0.919303 21.2984 0.71569 11.2035 0.721618 14.3943
113 6.75 0.984457 23.35 0.892287 24.252 0.930355 21.8728 0.707907 11.6418 0.715201 14.8361
114 6.81 0.964692 23.9576 0.881686 24.8064 0.943609 22.4658 0.698802 12.0821 0.709147 15.282
115 6.87 0.947692 24.5651 0.87302 25.3651 0.95699 23.0779 0.687732 12.5232 0.703455 15.7322
116 6.93 0.932179 25.1731 0.86815 25.9303 0.970738 23.7096 0.67614 12.9644 0.701317 16.1888
117 6.99 0.917575 25.7819 0.865817 26.5039 0.986044 24.3624 0.660753 13.4031 0.696987 16.6505
118 7.05 0.906925 26.3941 0.866676 27.0879 1.00199 25.0373 0.655311 13.8457 0.695292 17.1191
119 7.11 0.897263 27.0101 0.870068 27.6843 1.01822 25.7348 0.640366 14.2855 0.706469 17.6033
120 7.17 0.892246 27.6331 0.875623 28.2946 1.03535 26.456 0.629555 14.7253 0.712428 18.0999
121 7.23 0.888488 28.2638 0.883173 28.9205 1.05123 27.2006 0.625151 15.1694 0.722097 18.6116
122 7.29 0.887267 28.9042 0.892614 29.5637 1.06825 27.9699 0.614633 15.6132 0.736011 19.142
123 7.35 0.888853 29.5563 0.904193 30.2259 1.08427 28.7636 0.610588 16.0614 0.747797 19.6897
124 7.41 0.893729 30.2228 0.916682 30.9084 1.09878 29.5811 0.600569 16.5095 0.762677 20.2575
125 7.47 0.901231 30.9058 0.930023 31.612 1.11275 30.4225 0.598636 16.9634 0.777768 20.8459
