# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_1[1] c_1[2] c_1[3] c_1[4] c_1[5] c_1[6] c_1[7] c_1[8] c_1[9] c_1[10] c_1[11]
5000000 250
199 11.91 0.98687 137.963 0.976435 137.933 0.96208 136.831 0.978704 105.533 1.01765 116.512
200 11.97 0.980561 140.007 0.975677 139.963 0.961834 138.831 0.971712 107.559 1.02011 118.634
201 12.03 0.974718 142.059 0.975638 142.013 0.961572 140.851 0.969498 109.601 1.0197 120.777
202 12.09 0.970042 144.121 0.975868 144.084 0.962483 142.892 0.958428 111.64 1.01843 122.939
203 12.15 0.965934 146.195 0.976669 146.178 0.964287 144.958 0.952393 113.686 1.0175 125.12
204 12.21 0.96279 148.283 0.977749 148.294 0.966416 147.049 0.945342 115.737 1.01304 127.313
205 12.27 0.960963 150.387 0.979712 150.436 0.968576 149.165 0.937976 117.792 1.01141 129.524
206 12.33 0.959456 152.509 0.98202 152.604 0.972484 151.311 0.933736 119.858 1.01015 131.754
207 12.39 0.959486 154.651 0.984128 154.798 0.975851 153.485 0.932922 121.943 1.00732 133.999
208 12.45 0.960157 156.816 0.986993 157.019 0.979275 155.688 0.933024 124.047 1.00464 136.26
209 12.51 0.96072 159.003 0.989772 159.269 0.983294 157.921 0.935484 126.178 1.00131 138.536
210 12.57 0.962933 161.216 0.992846 161.546 0.987081 160.185 0.940482 128.341 1.0008 140.832
211 12.63 0.965839 163.457 0.995996 163.854 0.990305 162.477 0.945492 130.536 1.00066 143.15
212 12.69 0.969384 165.728 0.999388 166.19 0.993904 164.8 0.949144 132.76 0.998943 145.486
213 12.75 0.973418 168.029 1.0024 168.557 0.997457 167.153 0.95082 135.01 1.00153 147.85
214 12.81 0.977045 170.361 1.00519 170.952 1.00071 169.537 0.95127 137.281 1.00508 150.245
215 12.87 0.982408 172.728 1.00808 173.376 1.00441 171.951 0.949458 139.57 1.00662 152.666
216 12.93 0.987696 175.13 1.01039 175.829 1.00664 174.393 0.948814 141.879 1.01193 155.123
217 12.99 0.993758 177.569 1.01298 178.311 1.00934 176.865 0.950821 144.214 1.01812 157.617
218 13.05 0.998291 180.042 1.01477 180.821 1.01181 179.366 0.949057 146.566 1.02572 160.154
219 13.11 1.00417 182.552 1.01605 183.357 1.01393 181.895 0.953331 148.95 1.02573 162.714
220 13.17 1.00896 185.098 1.0169 185.918 1.01543 184.451 0.954362 151.36 1.02946 165.307
221 13.23 1.01372 187.679 1.01747 188.504 1.01654 187.033 0.960468 153.806 1.03023 167.925
222 13.29 1.01822 190.295 1.01736 191.113 1.0174 189.641 0.962523 156.28 1.02928 170.565
223 13.35 1.02182 192.943 1.01708 193.745 1.01834 192.275 0.968273 158.792 1.02708 173.223
224 13.41 1.02479 195.624 1.01616 196.399 1.01801 194.932 0.972828 161.338 1.03069 175.914
225 13.47 1.02763 198.336 1.01494 199.073 1.01794 197.612 0.97783 163.92 1.03029 178.629
226 13.53 1.02925 201.077 1.0136 201.767 1.01762 200.316 0.985556 166.545 1.03511 181.38
227 13.59 1.03033 203.844 1.01177 204.48 1.01708 203.042 0.98723 169.199 1.03534 184.157
228 13.65 1.03061 206.637 1.00993 207.213 1.01584 205.789 0.991855 171.889 1.03872 186.967
229 13.71 1.03063 209.455 1.00771 209.963 1.01501 208.558 0.994372 174.609 1.03892 189.803
230 13.77 1.02973 212.295 1.00573 212.732 1.01363 211.347 0.995693 177.356 1.0351 192.653
231 13.83 1.02882 215.157 1.00391 215.521 1.01252 214.157 0.9964 180.13 1.03305 195.522
232 13.89 1.02772 218.041 1.00143 218.326 1.01164 216.99 0.998992 182.935 1.03052 198.409
233 13.95 1.02566 220.945 0.999246 221.15 1.00999 219.842 1.00025 185.768 1.02563 201.307
234 14.01 1.02327 223.866 0.997007 223.991 1.00851 222.715 1.00244 188.631 1.02211 204.22
235 14.07 1.02054 226.805 0.995044 226.852 1.00768 225.61 1.00846 191.537 1.01895 207.15
236 14.13 1.01767 229.76 0.99268 229.73 1.00626 228.526 1.01114 194.475 1.01599 210.095
237 14.19 1.0148 232.732 0.990802 232.627 1.00539 231.464 1.019 197.461 1.01492 213.063
238 14.25 1.0112 235.719 0.989046 235.543 1.00439 234.424 1.02369 200.486 1.01668 216.06
239 14.31 1.00772 238.72 0.987201 238.479 1.0029 237.404 1.02763 203.549 1.02173 219.098
240 14.37 1.00451 241.737 0.985824 241.435 1.00216 240.408 1.03246 206.652 1.02801 222.181
241 14.43 1.00092 244.769 0.985121 244.413 1.00111 243.433 1.03303 209.782 1.0351 225.311
242 14.49 0.997667 247.816 0.984275 247.414 0.99976 246.479 1.03684 212.95 1.04112 228.485
243 14.55 0.99459 250.878 0.983546 250.438 0.999252 249.549 1.03291 216.133 1.0463 231.701
244 14.61 0.991458 253.956 0.983491 253.486 0.998347 252.642 1.03192 219.338 1.04444 234.939
245 14.67 0.988508 257.051 0.983884 256.56 0.997923 255.759 1.02733 222.556 1.04398 238.201
246 14.73 0.986351 260.164 0.98426 259.662 0.997093 258.898 1.01985 225.776 1.03843 241.473
247 14.79 0.983962 263.294 0.985031 262.79 0.996812 262.063 1.01613 229.011 1.03276 244.753
248 14.85 0.982495 266.446 0.986072 265.948 0.996527 265.252 1.00476 232.236 1.0229 248.029
249 14.91 0.981142 269.618 0.987443 269.135 0.996014 268.465 1.00265 235.48 1.01813 251.315
250 14.97 0.980783 272.815 0.989071 272.354 0.995415 271.703 1.00001 238.741 1.00826 254.596
6000000 250
1 0.03 0 0 0 0 0 0 0 0 0 0
2 0.09 0 0 0 0 0 0 0 0 0 0
3 0.15 0 0 0 0 0 0 0 0 0 0
4 0.21 0 0 0 0 0 0 0 0 0 0
5 0.27 0 0 0 0 0 0 0 0 0 0
6 0.33 0 0 0 0 0 0 0 0 0 0
7 0.39 0 0 0 0 0 0 0 0 0 0
8 0.45 0 0 0 0 0 0 0 0 0 0
9 0.51 0 0 0 0 0 0 0 0 0 0
10 0.57 0 0 0 0 0 0 0 0 0 0
11 0.63 0 0 0 0 0 0 0 0 0 0
12 0.69 0 0 0 0 0 0 0 0 0 0
13 0.75 0 0 0 0 0 0 0 0 0 0
14 0.81 0 0 0 0 0 0 0 0 0 0
