# Chunk-averaged data for fix T_line_40 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_TEMP
500000 41 8400
  12 77.3241 204.178 1008.17
  13 84.5619 214.372 1016.12
  14 91.7996 205.628 1025.17
  15 99.0374 210.241 1030.45
  16 106.275 209.76 1041.03
  17 113.513 203.309 1052.26
  18 120.751 216.685 1063.43
  19 127.988 193.678 1074.5
  20 135.226 226.304 1085.3
  21 142.464 183.46 1089.05
  22 149.702 236.492 1084.26
  23 156.939 176.663 1071.58
  24 164.177 243.24 1062.24
  25 171.415 173.284 1054.3
  26 178.653 246.624 1042.11
  27 185.89 171.812 1030.32
  28 193.128 248.149 1023.35
  29 200.366 171.178 1011.08
  30 207.604 248.854 1000.5
  31 214.841 171.277 988.783
  32 222.079 248.787 982.451
  33 229.317 171.787 977.143
  34 236.555 248.294 974.237
  35 243.792 172.708 972.462
  36 251.03 247.356 957.625
  37 258.268 174.761 949.054
  38 265.506 245.282 940.508
  39 272.743 179.489 932.474
  40 279.981 240.52 924.219
  41 287.219 0 0
5000000 41 8400
  1 -2.29108 185.805 909.296
  2 4.94667 234.2 913.853
  3 12.1844 197.421 921.939
  4 19.4222 222.579 931.598
  5 26.6599 207.408 939.675
  6 33.8977 212.592 951.707
  7 41.1354 214.644 957.967
  8 48.3732 205.357 971.171
  9 55.6109 218.581 979.718
  10 62.8486 201.422 988.446
  11 70.0864 219.506 998.135
  12 77.3241 200.493 1007.43
  13 84.5619 218.2 1014.95
  14 91.7996 201.799 1020.49
  15 99.0374 214.222 1033.34
  16 106.275 205.775 1047.6
  17 113.513 206.446 1059.47
  18 120.751 213.55 1066.2
  19 127.988 196.127 1075.36
  20 135.226 223.858 1091.53
  21 142.464 184.345 1103.48
  22 149.702 235.606 1089.09
  23 156.939 176.793 1079.52
  24 164.177 243.092 1068.29
  25 171.415 173.308 1059.07
  26 178.653 246.534 1050.68
  27 185.89 171.87 1035.8
  28 193.128 247.945 1026.25
  29 200.366 171.381 1018.92
  30 207.604 248.629 1008.52
  31 214.841 171.161 997.601
  32 222.079 248.951 990.466
  33 229.317 171.319 981.304
  34 236.555 248.855 972.624
  35 243.792 171.985 961.617
  36 251.03 248.16 951.507
  37 258.268 173.765 942.005
  38 265.506 246.294 936.368
  39 272.743 177.634 929.989
  40 279.981 242.388 916.75
  41 287.219 0 0
5500000 41 8400
  1 -2.29108 188.793 903.53
  2 4.94667 231.213 914.242
  3 12.1844 200.087 927.087
  4 19.4222 219.914 934.848
  5 26.6599 209.688 945.7
  6 33.8977 210.312 954.886
  7 41.1354 216.162 965.672
  8 48.3732 203.84 970.895
  9 55.6109 219.752 984.061
  10 62.8486 200.249 991.796
  11 70.0864 220.254 1003.13
  12 77.3241 199.744 1011.53
  13 84.5619 218.31 1018.72
  14 91.7996 201.692 1030.26
  15 99.0374 213.316 1039.03
  16 106.275 206.68 1050.57
  17 113.513 205 1058.84
  18 120.751 214.997 1070.23
  19 127.988 194.539 1077.99
  20 135.226 225.434 1088.2
  21 142.464 184.026 1100.24
  22 149.702 235.9 1089.79
  23 156.939 176.695 1078.75
  24 164.177 243.154 1067.52
  25 171.415 173.198 1053.9
  26 178.653 246.694 1043.86
  27 185.89 171.669 1034.86
  28 193.128 248.242 1028.5
  29 200.366 171.048 1015.82
  30 207.604 248.962 1007.3
  31 214.841 170.798 998.821
  32 222.079 249.299 988.444
  33 229.317 170.988 977.743
  34 236.555 249.148 967.684
