NaCl 100*14*6

8400 atoms

2 atom types

  -1.500000000    279.1900000  xlo xhi		#模拟盒子x尺寸
  -1.500000000    39.53000000  ylo yhi
  -1.500000000    16.05000000  zlo zhi
  
Masses		# 原子质量

1 22.9898	# Na
2 35.45		# Cl

Atoms		#原子编号 种类 x y z

242		1		1		168.6		2.81		2.81
243		1		1		171.41		0		2.81
244		1		1		171.41		2.81		0
245		2		-1		171.41		2.81		2.81
246		2		-1		171.41		0		0
247		2		-1		168.6		2.81		0
248		2		-1		168.6		0		2.81
249		1		1		174.22		0		0
250		1		1		174.22		2.81		2.81
251		1		1		177.03		0		2.81
252		1		1		177.03		2.81		0
253		2		-1		177.03		2.81		2.81
254		2		-1		177.03		0		0
255		2		-1		174.22		2.81		0
256		2		-1		174.22		0		2.81
257		1		1		179.84		0		0
258		1		1		179.84		2.81		2.81
259		1		1		182.65		0		2.81
260		1		1		182.65		2.81		0
261		2		-1		182.65		2.81		2.81
262		2		-1		182.65		0		0
263		2		-1		179.84		2.81		0
264		2		-1		179.84		0		2.81
265		1		1		185.46		0		0
266		1		1		185.46		2.81		2.81
267		1		1		188.27		0		2.81
268		1		1		188.27		2.81		0
269		2		-1		188.27		2.81		2.81
270		2		-1		188.27		0		0
271		2		-1		185.46		2.81		0
272		2		-1		185.46		0		2.81
273		1		1		191.08		0		0
274		1		1		191.08		2.81		2.81
275		1		1		193.89		0		2.81
276		1		1		193.89		2.81		0
277		2		-1		193.89		2.81		2.81
278		2		-1		193.89		0		0
279		2		-1		191.08		2.81		0
280		2		-1		191.08		0		2.81
281		1		1		196.7		0		0
282		1		1		196.7		2.81		2.81
283		1		1		199.51		0		2.81
284		1		1		199.51		2.81		0
285		2		-1		199.51		2.81		2.81
286		2		-1		199.51		0		0
287		2		-1		196.7		2.81		0
288		2		-1		196.7		0		2.81
289		1		1		202.32		0		0
290		1		1		202.32		2.81		2.81
291		1		1		205.13		0		2.81
292		1		1		205.13		2.81		0
293		2		-1		205.13		2.81		2.81
294		2		-1		205.13		0		0
295		2		-1		202.32		2.81		0
296		2		-1		202.32		0		2.81
297		1		1		207.94		0		0
298		1		1		207.94		2.81		2.81
299		1		1		210.75		0		2.81
300		1		1		210.75		2.81		0
301		2		-1		210.75		2.81		2.81
302		2		-1		210.75		0		0
303		2		-1		207.94		2.81		0
304		2		-1		207.94		0		2.81
305		1		1		213.56		0		0
306		1		1		213.56		2.81		2.81
307		1		1		216.37		0		2.81
308		1		1		216.37		2.81		0
309		2		-1		216.37		2.81		2.81
310		2		-1		216.37		0		0
311		2		-1		213.56		2.81		0
312		2		-1		213.56		0		2.81
313		1		1		219.18		0		0
314		1		1		219.18		2.81		2.81
315		1		1		221.99		0		2.81
316		1		1		221.99		2.81		0
317		2		-1		221.99		2.81		2.81
318		2		-1		221.99		0		0
319		2		-1		219.18		2.81		0
320		2		-1		219.18		0		2.81
321		1		1		224.8		0		0
322		1		1		224.8		2.81		2.81
323		1		1		227.61		0		2.81
324		1		1		227.61		2.81		0
325		2		-1		227.61		2.81		2.81
326		2		-1		227.61		0		0
327		2		-1		224.8		2.81		0
328		2		-1		224.8		0		2.81
329		1		1		230.42		0		0
330		1		1		230.42		2.81		2.81
331		1		1		233.23		0		2.81
332		1		1		233.23		2.81		0
333		2		-1		233.23		2.81		2.81
334		2		-1		233.23		0		0
335		2		-1		230.42		2.81		0
336		2		-1		230.42		0		2.81
337		1		1		236.04		0		0
338		1		1		236.04		2.81		2.81
339		1		1		238.85		0		2.81
340		1		1		238.85		2.81		0
341		2		-1		238.85		2.81		2.81
342		2		-1		238.85		0		0
343		2		-1		236.04		2.81		0
344		2		-1		236.04		0		2.81
345		1		1		241.66		0		0
346		1		1		241.66		2.81		2.81
347		1		1		244.47		0		2.81
348		1		1		244.47		2.81		0
349		2		-1		244.47		2.81		2.81
350		2		-1		244.47		0		0
351		2		-1		241.66		2.81		0
352		2		-1		241.66		0		2.81
353		1		1		247.28		0		0
354		1		1		247.28		2.81		2.81
355		1		1		250.09		0		2.81
356		1		1		250.09		2.81		0
357		2		-1		250.09		2.81		2.81
358		2		-1		250.09		0		0
359		2		-1		247.28		2.81		0
360		2		-1		247.28		0		2.81
361		1		1		252.9		0		0
362		1		1		252.9		2.81		2.81
363		1		1		255.71		0		2.81
364		1		1		255.71		2.81		0
365		2		-1		255.71		2.81		2.81
366		2		-1		255.71		0		0
367		2		-1		252.9		2.81		0
368		2		-1		252.9		0		2.81
369		1		1		258.52		0		0
370		1		1		258.52		2.81		2.81
371		1		1		261.33		0		2.81
372		1		1		261.33		2.81		0
373		2		-1		261.33		2.81		2.81
374		2		-1		261.33		0		0
375		2		-1		258.52		2.81		0
376		2		-1		258.52		0		2.81
377		1		1		264.14		0		0
378		1		1		264.14		2.81		2.81
379		1		1		266.95		0		2.81
380		1		1		266.95		2.81		0
381		2		-1		266.95		2.81		2.81
382		2		-1		266.95		0		0
383		2		-1		264.14		2.81		0
384		2		-1		264.14		0		2.81
385		1		1		269.76		0		0
386		1		1		269.76		2.81		2.81
387		1		1		272.57		0		2.81
388		1		1		272.57		2.81		0
389		2		-1		272.57		2.81		2.81
390		2		-1		272.57		0		0
391		2		-1		269.76		2.81		0
392		2		-1		269.76		0		2.81
393		1		1		275.38		0		0
394		1		1		275.38		2.81		2.81
395		1		1		278.19		0		2.81
396		1		1		278.19		2.81		0
397		2		-1		278.19		2.81		2.81
398		2		-1		278.19		0		0
399		2		-1		275.38		2.81		0
400		2		-1		275.38		0		2.81
401		1		1		0		5.62		0
402		1		1		0		8.43		2.81
403		1		1		2.81		5.62		2.81
404		1		1		2.81		8.43		0
405		2		-1		2.81		8.43		2.81
406		2		-1		2.81		5.62		0
407		2		-1		0		8.43		0
408		2		-1		0		5.62		2.81
409		1		1		5.62		5.62		0
410		1		1		5.62		8.43		2.81
411		1		1		8.43		5.62		2.81
412		1		1		8.43		8.43		0
413		2		-1		8.43		8.43		2.81
414		2		-1		8.43		5.62		0
415		2		-1		5.62		8.43		0
416		2		-1		5.62		5.62		2.81
417		1		1		11.24		5.62		0
418		1		1		11.24		8.43		2.81
419		1		1		14.05		5.62		2.81
420		1		1		14.05		8.43		0
421		2		-1		14.05		8.43		2.81
422		2		-1		14.05		5.62		0
423		2		-1		11.24		8.43		0
424		2		-1		11.24		5.62		2.81
425		1		1		16.86		5.62		0
426		1		1		16.86		8.43		2.81
427		1		1		19.67		5.62		2.81
428		1		1		19.67		8.43		0
429		2		-1		19.67		8.43		2.81
430		2		-1		19.67		5.62		0
431		2		-1		16.86		8.43		0
432		2		-1		16.86		5.62		2.81
433		1		1		22.48		5.62		0
434		1		1		22.48		8.43		2.81
435		1		1		25.29		5.62		2.81
436		1		1		25.29		8.43		0
437		2		-1		25.29		8.43		2.81
438		2		-1		25.29		5.62		0
439		2		-1		22.48		8.43		0
440		2		-1		22.48		5.62		2.81
441		1		1		28.1		5.62		0
442		1		1		28.1		8.43		2.81
443		1		1		30.91		5.62		2.81
444		1		1		30.91		8.43		0
445		2		-1		30.91		8.43		2.81
446		2		-1		30.91		5.62		0
447		2		-1		28.1		8.43		0
448		2		-1		28.1		5.62		2.81
449		1		1		33.72		5.62		0
450		1		1		33.72		8.43		2.81
451		1		1		36.53		5.62		2.81
452		1		1		36.53		8.43		0
453		2		-1		36.53		8.43		2.81
454		2		-1		36.53		5.62		0
455		2		-1		33.72		8.43		0
456		2		-1		33.72		5.62		2.81
457		1		1		39.34		5.62		0
458		1		1		39.34		8.43		2.81
459		1		1		42.15		5.62		2.81
460		1		1		42.15		8.43		0
461		2		-1		42.15		8.43		2.81
462		2		-1		42.15		5.62		0
463		2		-1		39.34		8.43		0
464		2		-1		39.34		5.62		2.81
465		1		1		44.96		5.62		0
466		1		1		44.96		8.43		2.81
467		1		1		47.77		5.62		2.81
468		1		1		47.77		8.43		0
469		2		-1		47.77		8.43		2.81
470		2		-1		47.77		5.62		0
471		2		-1		44.96		8.43		0
472		2		-1		44.96		5.62		2.81
473		1		1		50.58		5.62		0
474		1		1		50.58		8.43		2.81
475		1		1		53.39		5.62		2.81
476		1		1		53.39		8.43		0
477		2		-1		53.39		8.43		2.81
478		2		-1		53.39		5.62		0
479		2		-1		50.58		8.43		0
480		2		-1		50.58		5.62		2.81
481		1		1		56.2		5.62		0
482		1		1		56.2		8.43		2.81
483		1		1		59.01		5.62		2.81
484		1		1		59.01		8.43		0
485		2		-1		59.01		8.43		2.81
486		2		-1		59.01		5.62		0
487		2		-1		56.2		8.43		0
488		2		-1		56.2		5.62		2.81
489		1		1		61.82		5.62		0
490		1		1		61.82		8.43		2.81
491		1		1		64.63		5.62		2.81
492		1		1		64.63		8.43		0
493		2		-1		64.63		8.43		2.81
494		2		-1		64.63		5.62		0
495		2		-1		61.82		8.43		0
496		2		-1		61.82		5.62		2.81
497		1		1		67.44		5.62		0
498		1		1		67.44		8.43		2.81
499		1		1		70.25		5.62		2.81
500		1		1		70.25		8.43		0
501		2		-1		70.25		8.43		2.81
502		2		-1		70.25		5.62		0
503		2		-1		67.44		8.43		0
504		2		-1		67.44		5.62		2.81
505		1		1		73.06		5.62		0
506		1		1		73.06		8.43		2.81
507		1		1		75.87		5.62		2.81
508		1		1		75.87		8.43		0
509		2		-1		75.87		8.43		2.81
510		2		-1		75.87		5.62		0
511		2		-1		73.06		8.43		0
512		2		-1		73.06		5.62		2.81
513		1		1		78.68		5.62		0
514		1		1		78.68		8.43		2.81
515		1		1		81.49		5.62		2.81
516		1		1		81.49		8.43		0
517		2		-1		81.49		8.43		2.81
518		2		-1		81.49		5.62		0
519		2		-1		78.68		8.43		0
520		2		-1		78.68		5.62		2.81
521		1		1		84.3		5.62		0
522		1		1		84.3		8.43		2.81
523		1		1		87.11		5.62		2.81
524		1		1		87.11		8.43		0
525		2		-1		87.11		8.43		2.81
526		2		-1		87.11		5.62		0
527		2		-1		84.3		8.43		0
528		2		-1		84.3		5.62		2.81
529		1		1		89.92		5.62		0
530		1		1		89.92		8.43		2.81
531		1		1		92.73		5.62		2.81
532		1		1		92.73		8.43		0
533		2		-1		92.73		8.43		2.81
534		2		-1		92.73		5.62		0
535		2		-1		89.92		8.43		0
536		2		-1		89.92		5.62		2.81
537		1		1		95.54		5.62		0
538		1		1		95.54		8.43		2.81
539		1		1		98.35		5.62		2.81
540		1		1		98.35		8.43		0
541		2		-1		98.35		8.43		2.81
542		2		-1		98.35		5.62		0
543		2		-1		95.54		8.43		0
544		2		-1		95.54		5.62		2.81
545		1		1		101.16		5.62		0
546		1		1		101.16		8.43		2.81
547		1		1		103.97		5.62		2.81
548		1		1		103.97		8.43		0
549		2		-1		103.97		8.43		2.81
550		2		-1		103.97		5.62		0
551		2		-1		101.16		8.43		0
552		2		-1		101.16		5.62		2.81
553		1		1		106.78		5.62		0
554		1		1		106.78		8.43		2.81
555		1		1		109.59		5.62		2.81
556		1		1		109.59		8.43		0
557		2		-1		109.59		8.43		2.81
558		2		-1		109.59		5.62		0
559		2		-1		106.78		8.43		0
560		2		-1		106.78		5.62		2.81
561		1		1		112.4		5.62		0
562		1		1		112.4		8.43		2.81
563		1		1		115.21		5.62		2.81
564		1		1		115.21		8.43		0
565		2		-1		115.21		8.43		2.81
566		2		-1		115.21		5.62		0
567		2		-1		112.4		8.43		0
568		2		-1		112.4		5.62		2.81
569		1		1		118.02		5.62		0
570		1		1		118.02		8.43		2.81
571		1		1		120.83		5.62		2.81
572		1		1		120.83		8.43		0
573		2		-1		120.83		8.43		2.81
574		2		-1		120.83		5.62		0
575		2		-1		118.02		8.43		0
576		2		-1		118.02		5.62		2.81
577		1		1		123.64		5.62		0
578		1		1		123.64		8.43		2.81
579		1		1		126.45		5.62		2.81
580		1		1		126.45		8.43		0
581		2		-1		126.45		8.43		2.81
582		2		-1		126.45		5.62		0
583		2		-1		123.64		8.43		0
584		2		-1		123.64		5.62		2.81
585		1		1		129.26		5.62		0
586		1		1		129.26		8.43		2.81
587		1		1		132.07		5.62		2.81
588		1		1		132.07		8.43		0
589		2		-1		132.07		8.43		2.81
590		2		-1		132.07		5.62		0
591		2		-1		129.26		8.43		0
592		2		-1		129.26		5.62		2.81
593		1		1		134.88		5.62		0
594		1		1		134.88		8.43		2.81
595		1		1		137.69		5.62		2.81
596		1		1		137.69		8.43		0
597		2		-1		137.69		8.43		2.81
598		2		-1		137.69		5.62		0
599		2		-1		134.88		8.43		0
600		2		-1		134.88		5.62		2.81
601		1		1		140.5		5.62		0
602		1		1		140.5		8.43		2.81
603		1		1		143.31		5.62		2.81
604		1		1		143.31		8.43		0
605		2		-1		143.31		8.43		2.81
606		2		-1		143.31		5.62		0
607		2		-1		140.5		8.43		0
608		2		-1		140.5		5.62		2.81
609		1		1		146.12		5.62		0
610		1		1		146.12		8.43		2.81
611		1		1		148.93		5.62		2.81
612		1		1		148.93		8.43		0
613		2		-1		148.93		8.43		2.81
614		2		-1		148.93		5.62		0
615		2		-1		146.12		8.43		0
616		2		-1		146.12		5.62		2.81
617		1		1		151.74		5.62		0
618		1		1		151.74		8.43		2.81
619		1		1		154.55		5.62		2.81
620		1		1		154.55		8.43		0
621		2		-1		154.55		8.43		2.81
622		2		-1		154.55		5.62		0
623		2		-1		151.74		8.43		0
624		2		-1		151.74		5.62		2.81
625		1		1		157.36		5.62		0
626		1		1		157.36		8.43		2.81
627		1		1		160.17		5.62		2.81
628		1		1		160.17		8.43		0
629		2		-1		160.17		8.43		2.81
630		2		-1		160.17		5.62		0
631		2		-1		157.36		8.43		0
632		2		-1		157.36		5.62		2.81
633		1		1		162.98		5.62		0
634		1		1		162.98		8.43		2.81
635		1		1		165.79		5.62		2.81
636		1		1		165.79		8.43		0
637		2		-1		165.79		8.43		2.81
638		2		-1		165.79		5.62		0
639		2		-1		162.98		8.43		0
640		2		-1		162.98		5.62		2.81
641		1		1		168.6		5.62		0
642		1		1		168.6		8.43		2.81
643		1		1		171.41		5.62		2.81
644		1		1		171.41		8.43		0
645		2		-1		171.41		8.43		2.81
646		2		-1		171.41		5.62		0
647		2		-1		168.6		8.43		0
648		2		-1		168.6		5.62		2.81
649		1		1		174.22		5.62		0
650		1		1		174.22		8.43		2.81
651		1		1		177.03		5.62		2.81
652		1		1		177.03		8.43		0
653		2		-1		177.03		8.43		2.81
654		2		-1		177.03		5.62		0
655		2		-1		174.22		8.43		0
656		2		-1		174.22		5.62		2.81
657		1		1		179.84		5.62		0
658		1		1		179.84		8.43		2.81
659		1		1		182.65		5.62		2.81
660		1		1		182.65		8.43		0
661		2		-1		182.65		8.43		2.81
662		2		-1		182.65		5.62		0
663		2		-1		179.84		8.43		0
664		2		-1		179.84		5.62		2.81
665		1		1		185.46		5.62		0
666		1		1		185.46		8.43		2.81
667		1		1		188.27		5.62		2.81
668		1		1		188.27		8.43		0
669		2		-1		188.27		8.43		2.81
670		2		-1		188.27		5.62		0
671		2		-1		185.46		8.43		0
672		2		-1		185.46		5.62		2.81
673		1		1		191.08		5.62		0
674		1		1		191.08		8.43		2.81
675		1		1		193.89		5.62		2.81
676		1		1		193.89		8.43		0
677		2		-1		193.89		8.43		2.81
678		2		-1		193.89		5.62		0
679		2		-1		191.08		8.43		0
680		2		-1		191.08		5.62		2.81
681		1		1		196.7		5.62		0
682		1		1		196.7		8.43		2.81
683		1		1		199.51		5.62		2.81
684		1		1		199.51		8.43		0
685		2		-1		199.51		8.43		2.81
686		2		-1		199.51		5.62		0
687		2		-1		196.7		8.43		0
688		2		-1		196.7		5.62		2.81
689		1		1		202.32		5.62		0
690		1		1		202.32		8.43		2.81
691		1		1		205.13		5.62		2.81
692		1		1		205.13		8.43		0
693		2		-1		205.13		8.43		2.81
694		2		-1		205.13		5.62		0
695		2		-1		202.32		8.43		0
696		2		-1		202.32		5.62		2.81
697		1		1		207.94		5.62		0
698		1		1		207.94		8.43		2.81
699		1		1		210.75		5.62		2.81
700		1		1		210.75		8.43		0
701		2		-1		210.75		8.43		2.81
702		2		-1		210.75		5.62		0
703		2		-1		207.94		8.43		0
704		2		-1		207.94		5.62		2.81
705		1		1		213.56		5.62		0
706		1		1		213.56		8.43		2.81
707		1		1		216.37		5.62		2.81
708		1		1		216.37		8.43		0
709		2		-1		216.37		8.43		2.81
710		2		-1		216.37		5.62		0
711		2		-1		213.56		8.43		0
712		2		-1		213.56		5.62		2.81
713		1		1		219.18		5.62		0
714		1		1		219.18		8.43		2.81
715		1		1		221.99		5.62		2.81
716		1		1		221.99		8.43		0
717		2		-1		221.99		8.43		2.81
718		2		-1		221.99		5.62		0
719		2		-1		219.18		8.43		0
720		2		-1		219.18		5.62		2.81
721		1		1		224.8		5.62		0
722		1		1		224.8		8.43		2.81
