# Time-averaged data for fix totalE
# TimeStep v_Temp v_Etotal v_Enth
3235000 433.79 -3546.36 -3544.47
3240000 434.836 -3545.17 -3545.12
3245000 435.662 -3542.9 -3539.55
3250000 434.813 -3545.56 -3546.14
3255000 435.125 -3544.59 -3543.61
3260000 436.415 -3541.68 -3541.54
3265000 435.749 -3542.23 -3540.47
3270000 436.574 -3541.67 -3544.29
3275000 436.117 -3542.59 -3541.61
3280000 436.594 -3542.94 -3542.16
3285000 437.432 -3537.95 -3539.53
3290000 437.549 -3538.16 -3536.61
3295000 437.868 -3542.49 -3543.39
3300000 438.722 -3537.84 -3538.69
3305000 438.536 -3538.77 -3539.82
3310000 438.192 -3537.22 -3536.93
3315000 439.697 -3534.59 -3537.23
3320000 438.637 -3534.16 -3532.49
3325000 438.978 -3532.9 -3533.16
3330000 439.558 -3532.91 -3535.57
3335000 439.952 -3533.34 -3532.74
3340000 439.413 -3531.79 -3531.63
3345000 440.215 -3531.34 -3530.45
3350000 440.756 -3532.5 -3531.42
3355000 440.582 -3534.83 -3534.16
3360000 440.899 -3531.2 -3533.82
3365000 441.102 -3529.92 -3529.57
3370000 441.789 -3530.42 -3529.38
3375000 440.856 -3532.45 -3532.51
3380000 442.072 -3531.76 -3534.75
3385000 441.975 -3530.73 -3529.7
3390000 442.381 -3530.96 -3532.73
3395000 441.849 -3533.39 -3531.47
3400000 443.08 -3532.22 -3534.21
3405000 443.256 -3529.96 -3528.53
3410000 443.619 -3531.42 -3533.13
3415000 442.974 -3532.66 -3532.99
3420000 443.354 -3532.15 -3532.63
3425000 443.654 -3530.25 -3528.29
3430000 443.759 -3530 -3529.59
3435000 445.067 -3528.38 -3527.58
3440000 444.856 -3525.45 -3525.5
3445000 445.714 -3525.07 -3523.65
3450000 445.475 -3523.65 -3521.66
3455000 445.085 -3525.54 -3523.83
3460000 444.88 -3528.47 -3530.08
3465000 445.795 -3520.67 -3519.61
3470000 446.493 -3518.15 -3519.85
3475000 446.978 -3518.26 -3517.7
3480000 447.062 -3518.51 -3518.61
3485000 447.465 -3514.64 -3516.36
3490000 446.972 -3517.71 -3515.5
3495000 447.915 -3516 -3516.35
3500000 447.784 -3520.49 -3521.89
3505000 447.818 -3520.67 -3522.23
3510000 448.419 -3517.77 -3514.85
3515000 448.279 -3517.57 -3519.77
3520000 449.881 -3511.24 -3511.23
3525000 448.218 -3514.82 -3512.81
3530000 449.963 -3510.63 -3509.32
3535000 449.69 -3511.83 -3511.29
3540000 449.839 -3511.48 -3513.67
3545000 450.46 -3511.14 -3512.83
3550000 450.66 -3509.73 -3508.09
3555000 450.313 -3511.75 -3511.94
3560000 450.93 -3508.29 -3507.97
3565000 451.941 -3506.03 -3506.51
3570000 452.025 -3507.84 -3506.76
3575000 451.57 -3508.48 -3508.99
3580000 451.246 -3509.86 -3508.85
3585000 451.562 -3507.75 -3506.75
3590000 452.041 -3505.2 -3506.36
3595000 452.145 -3508.31 -3505.25
3600000 453.215 -3507.17 -3508.59
